type,model,split,mae,rmse,r2,mape,mbe
Traditional ML,rf,train,0.3755611783570425,0.6077536534594216,0.923884875169912,13.765597988717634,-0.0020235914519365
Traditional ML,dt,train,0.649808332991666,0.9975775270980988,0.7949266993114752,24.286295151919163,-5.467706786766779e-18
Traditional ML,xgb,train,0.3699800074100494,0.5557355516299902,0.936356782913208,15.563207626342772,0.0004452675639186
Traditional ML,lgb,train,0.4843860209877286,0.7461505459460624,0.8852721831095882,19.05238009895226,8.247811172380906e-06
Traditional ML,catboost,train,0.4623292804835734,0.7104785768049705,0.8959797767176267,18.34055373903816,2.907461434286608e-05
Deep Learning,gru,train,0.3656538198217338,0.6038869606833978,0.924850324080768,17.633198182297626,0.020243483967487
Hybrid,cnn_lstm,train,0.2831389357690251,0.422269434890487,0.963255266528935,14.89969972875109,-0.0085115359693503
Hybrid,prophet_lgb,train,0.5098716910912192,0.8105741960818593,0.8632123418775557,19.35272295537363,-0.0004087946871473
Traditional ML,rf,val,0.5486164342156452,0.8923365330901756,0.8439968145808112,19.637868951337392,0.0209131054041919
Traditional ML,dt,val,0.6580191769252047,1.0378138751248671,0.7889841565230126,23.89220901103753,0.0498918424700598
Traditional ML,xgb,val,0.5339866280555725,0.8663882103186519,0.8529377579689026,19.616273880004883,0.056618146598339
Traditional ML,lgb,val,0.5636284388696848,0.9027591296136624,0.8403312604092869,20.66001067599964,0.05454330609153
Traditional ML,catboost,val,0.5522536832881388,0.8866368651561072,0.8459833445753568,20.27406667214892,0.0474014762382349
Deep Learning,gru,val,0.4902738182665883,0.8644027602820062,0.8536110118884829,21.09918983321311,0.0457189336392768
Hybrid,cnn_lstm,val,0.4304784784839101,0.7274820701957354,0.8963138600583999,19.8588632639774,0.0190255966082661
Hybrid,prophet_lgb,val,0.7539775652431747,1.0872067252467024,0.7731925226922236,33.2903579691445,-0.1174537582844239
Traditional ML,rf,test,0.5087145014579268,0.8173138382418864,0.8632155069903381,18.85580294287069,0.0517514127523948
Traditional ML,dt,test,0.661564997160006,1.0083211014529103,0.7918114346156,25.15794766092987,0.0255377050397183
Traditional ML,xgb,test,0.4953395128250122,0.7820632135373804,0.8747600317001343,19.1539249420166,0.061062816530466
Traditional ML,lgb,test,0.5337158897336289,0.8361413599201479,0.8568410271961049,20.63938358673788,0.0658489894946248
Traditional ML,catboost,test,0.5230354766040507,0.8178145650154923,0.8630478537943627,20.28289599973824,0.0622407002104508
Deep Learning,gru,test,0.4453602018137205,0.7428203647166248,0.8870134458274367,19.105031920686315,0.048595087170996
Hybrid,cnn_lstm,test,0.3818381279961267,0.6117280791746397,0.9233740287989208,17.04041174813506,0.0361926440668412
Hybrid,prophet_lgb,test,0.901519580518927,1.1964527768518505,0.7105355953472129,60.14105245540412,-0.4645226758916455
Deep Learning,dlinear,train,0.6191313511196195,0.9353711584037518,0.8197049693922155,29.03129817359129,0.0036582213140955
Deep Learning,timesnet,train,0.3165271998731056,0.4649859594946432,0.9554450986803588,16.514958105607604,0.0318216861479792
Deep Learning,dlinear,val,0.6537250677342518,0.9890388624653532,0.8083526439219948,32.816401041459955,-0.0013033645024446
Deep Learning,timesnet,val,0.467760930441634,0.740361294516562,0.8926100770054184,22.79090730983877,0.0252896928965016
Deep Learning,dlinear,test,0.6172907964387424,0.941081662281786,0.8186515773199613,26.451851078040335,0.0699873634499592
Deep Learning,timesnet,test,0.4426311435949951,0.6922712346726304,0.9018677553322484,19.50579253190837,0.0926511750303975
Deep Learning,lstm,train,0.39399033083149976,0.5942464160329416,0.9272305739199114,13.682683831135714,0.32959840940391544
Deep Learning,lstm,val,0.5130809812301014,0.834036046162633,0.8637157211858847,17.851960899853523,0.35103574435236407
Deep Learning,lstm,test,0.49997040518680974,0.8000246736377417,0.8689412796150661,16.6713683967823,0.3767552792693344
Deep Learning,bilstm,train,0.156822631196029,0.23347261299631125,0.9887672085625064,8.620931024912409,-0.013918614319348573
Deep Learning,bilstm,val,0.3885487283805093,0.6986362818256993,0.9043734714181935,16.540920408702505,0.005178057924788131
Deep Learning,bilstm,test,0.34844229634359525,0.6015933350427746,0.9258919829161927,13.608755557213922,0.05233104046806435
Deep Learning,attention_lstm,train,0.16344155722197345,0.24406522537450473,0.9877248271060431,8.471042586242037,0.020431369744084677
Deep Learning,attention_lstm,val,0.36861504758240826,0.6457656120282627,0.9182992679886338,16.246905590380536,0.04497521176887699
Deep Learning,attention_lstm,test,0.3336170030619516,0.5611510168985215,0.9355209442018987,13.217456251896554,0.06938412281288252
